periodo,idest,pering,programa,sexest,creditos,notafin,vecesmat
20141,200046,20122,Ingeniería Civil,M,3,3.4,1
20141,69230,20102,Ingeniería Civil,F,3,3.8,2
20141,199115,20122,Biología,F,3,3.3,1
20141,62318,20091,Ingeniería Civil,M,3,3.0,1
20141,75152,20121,Ingeniería Civil,F,3,3.0,1
20141,199443,20122,Ingeniería Civil,M,3,2.3,1
20141,69161,20102,Biología,F,3,3.1,1
20141,70723,20111,Ingeniería Civil,F,3,3.0,2
20141,73121,20112,Biología,F,3,3.1,1
20141,70430,20122,Biología,M,3,3.5,2
20141,199388,20122,Biología,M,3,3.0,1
20141,73374,20112,Ingeniería Civil,M,3,3.1,1
20141,75685,20121,Biología,F,3,3.5,1
20141,199733,20122,Biología,F,3,3.0,2
20141,200076,20122,Ingeniería Civil,M,3,3.3,1
20141,27160,20001,Ingeniería Civil,M,3,3.0,8
20141,73426,20112,Ingeniería Electrónica,M,3,4.1,1
20141,217954,20131,Ingeniería Civil,M,3,3.3,1
20141,73465,20112,Ingeniería Electrónica,M,3,3.6,1
20141,72448,20121,Ingeniería Civil,F,3,3.4,1
20141,200187,20122,Ingeniería Civil,F,3,4.0,1
20141,199481,20122,Ingeniería Civil,M,3,3.3,1
20141,72624,20112,Ingeniería Electrónica,M,3,3.6,1
20141,73317,20112,Ingeniería Electrónica,M,3,3.8,1
20141,199344,20122,Ingeniería Civil,M,3,3.5,1
20141,218406,20131,Ingeniería Civil,M,3,3.8,1
20141,65842,20101,Ingeniería Civil,F,3,3.9,3
20141,199358,20122,Ingeniería Civil,M,3,3.1,1
20141,200086,20122,Ingeniería Civil,M,3,3.3,1
20141,75670,20122,Ingeniería Civil,M,3,3.1,1
20141,199567,20122,Ingeniería Civil,M,3,3.3,1
20141,75401,20121,Ingeniería de Sistemas,M,3,3.0,1
20141,200117,20122,Ingeniería Civil,M,3,3.4,1
20141,64482,20102,Ingeniería de Sistemas,M,3,3.2,1
20141,73518,20112,Ingeniería Civil,M,3,3.2,1
20141,199880,20122,Ingeniería Civil,F,3,3.7,1
20141,70961,20111,Ingeniería Civil,M,3,3.7,2
20141,65991,20122,Ingeniería Civil,F,3,3.7,1
20141,199264,20122,Ingeniería Civil,M,3,3.4,1
20141,70832,20111,Ingeniería Civil,F,3,3.2,1
20141,200344,20122,Ingeniería Civil,M,3,3.1,1
20141,75787,20121,Ingeniería Civil,F,3,3.5,1
20141,75399,20121,Ingeniería Civil,M,3,3.3,1
20141,61282,20082,Ingeniería de Sistemas,M,3,3.1,1
20141,71130,20111,Ingeniería Civil,M,3,3.1,2
20141,199056,20122,Ingeniería Civil,M,3,3.0,1
20141,199331,20122,Ingeniería Civil,F,3,3.4,1
20141,72883,20121,Ingeniería Civil,M,3,3.4,2
20141,198118,20121,Matemáticas Aplicadas,F,3,3.4,1
20141,199013,20122,Ingeniería Civil,F,3,4.8,1
20141,199106,20122,Ingeniería Civil,F,3,4.0,1
20141,199733,20122,Biología,F,3, ,2
20141,200103,20122,Ingeniería Civil,F,3,3.0,1
20141,199075,20122,Ingeniería Civil,F,3,3.0,1
20141,71277,20111,Ingeniería Electrónica,M,3,3.1,1
20141,200118,20122,Ingeniería Civil,F,3,4.2,1
20141,199014,20122,Ingeniería Civil,M,3,4.9,1
20141,200240,20122,Ingeniería Civil,M,3,4.7,1
20141,199066,20122,Ingeniería Civil,F,3,4.2,1
20141,199297,20122,Ingeniería Civil,F,3,2.7,1
20141,199514,20122,Ingeniería Civil,M,3,3.2,1
20141,68920,20102,Ingeniería Electrónica,F,3,3.1,2
20141,199631,20122,Ingeniería Civil,F,3,3.0,1
20141,199980,20122,Ingeniería Civil,M,3,3.0,1
20141,217906,20131,Ingeniería Civil,F,3,2.5,1
20141,34275,20092,Ingeniería de Sistemas,M,3,2.7,1
20141,199951,20122,Ingeniería Civil,F,3,3.2,1
20141,199365,20122,Ingeniería Civil,M,3,3.5,1
20141,70644,20111,Ingeniería Civil,M,3,1.9,1
20141,198887,20122,Ingeniería Civil,M,3,3.1,1
20141,199339,20122,Ingeniería Civil,F,3,3.2,1
20141,198879,20122,Ingeniería Civil,F,3,3.4,1
20141,199651,20122,Ingeniería Civil,F,3,3.6,1
20141,199549,20122,Ingeniería Civil,M,3,3.2,1
20141,75165,20121,Ingeniería Civil,F,3,3.0,1
20141,199158,20122,Ingeniería Civil,M,3,4.4,1
20141,68838,20141,Ingeniería Civil,M,3,2.5,1
20141,199034,20122,Ingeniería Civil,M,3,3.3,1
20141,199588,20122,Ingeniería Civil,M,3,4.3,1
20141,199284,20122,Ingeniería Civil,M,3,3.4,1
20141,199609,20122,Ingeniería Civil,M,3,3.1,1
20141,200362,20122,Ingeniería Civil,M,3,3.2,1
20142,59264,20081,Ingeniería de Sistemas,M,3,3.3,1
20142,200379,20122,Ingeniería Civil,M,3,3.8,1
20142,75597,20121,Ingeniería Electrónica,M,3,3.4,1
20142,73057,20112,Ingeniería de Sistemas,M,3,3.8,1
20142,218494,20131,Ingeniería Civil,F,3,3.1,1
20142,72572,20122,Ingeniería Electrónica,M,3,4.2,1
